Title,Genre,Languages,Series or Movie,Runtime,View Rating,IMDb Score,Rotten Tomatoes Score,Boxoffice
Dance with Me,"Drama, Music, Romance",English,Movie,> 2 hrs,PG,5.9,51,"$15,923,122 "
Mortal Engines,"Action, Adventure, Fantasy, Sci-Fi, Thriller",English,Movie,> 2 hrs,PG-13,6.1,26,"$15,951,040 "
Marie Antoinette,"Biography, Drama, History, Romance","English, Latin, French",Movie,> 2 hrs,PG-13,6.5,57,"$15,962,471 "
The Raven,"Crime, Mystery, Thriller",English,Movie,1-2 hour,R,6.4,22,"$16,008,272 "
The Transporter Refueled,"Action, Adventure, Thriller","English, Russian, French",Movie,1-2 hour,PG-13,5.2,16,"$16,029,670 "
Fruitvale Station,"Biography, Crime, Drama, Romance","English, Spanish",Movie,1-2 hour,R,7.5,94,"$16,101,339 "
Death Wish 3,"Action, Crime, Drama, Thriller","English, Spanish",Movie,1-2 hour,R,5.9,11,"$16,116,878 "
Imagine That,"Comedy, Drama, Family, Fantasy",English,Movie,1-2 hour,PG,5.6,41,"$16,123,323 "
Jobs,"Biography, Drama",English,Movie,> 2 hrs,PG-13,5.9,28,"$16,131,410 "
Vanity Fair,Drama,"English, French, German",Movie,< 30 minutes,PG-13,6.2,50,"$16,136,476 "
Begin Again,"Comedy, Drama, Music, Romance",English,Movie,1-2 hour,R,7.4,83,"$16,170,632 "
Police Story 3 Super Cop,"Action, Comedy, Crime, Thriller","Cantonese, English, Mandarin, Malay, Thai",Movie,1-2 hour,R,6.9,96,"$16,270,600 "
Young Adult,"Comedy, Drama",English,Movie,1-2 hour,R,6.2,80,"$16,311,571 "
Forever My Girl,"Drama, Music, Romance",English,Movie,1-2 hour,PG,6.7,25,"$16,376,066 "
The Master,Drama,"English, Filipino",Movie,1-2 hour,R,7.2,84,"$16,377,274 "
Elizabeth: The Golden Age,"Biography, Drama, History, War","English, Spanish, Swedish",Movie,1-2 hour,PG-13,6.8,35,"$16,383,509 "
"Mary, Queen of Scots","Biography, Drama, History","English, French, Scottish Gaelic, Latin",Movie,> 2 hrs,R,6.3,27,"$16,468,499 "
Trainspotting,Drama,English,Movie,1-2 hour,R,8.1,91,"$16,491,080 "
The Perfect Man,"Comedy, Family, Romance",English,Movie,1-2 hour,PG,5.5,6,"$16,535,005 "
Muppets from Space,"Adventure, Comedy, Family, Fantasy, Sci-Fi",English,Movie,1-2 hour,G,6.3,63,"$16,625,807 "
Missing Link,"Animation, Adventure, Comedy, Family, Fantasy","English, Spanish, Tibetan",Movie,1-2 hour,PG,6.7,89,"$16,649,539 "
Unaccompanied Minors,"Adventure, Comedy, Family, Romance","English, Spanish",Movie,1-2 hour,PG,5.3,29,"$16,655,224 "
To Rome with Love,"Comedy, Music, Romance","English, Italian",Movie,1-2 hour,R,6.3,46,"$16,685,867 "
The Frighteners,"Comedy, Fantasy, Horror",English,Movie,1-2 hour,R,7.1,64,"$16,759,216 "
The Motorcycle Diaries,"Adventure, Biography, Drama","Spanish, Quechua, Mapudungun",Movie,> 2 hrs,R,7.8,83,"$16,781,387 "
Detroit,"Crime, Drama, History, Thriller",English,Movie,> 2 hrs,R,7.3,82,"$16,790,139 "
Dead Silence,"Horror, Mystery, Thriller",English,Movie,1-2 hour,R,6.2,20,"$16,809,076 "
Babys Day Out,"Adventure, Comedy, Crime, Drama, Family",English,Movie,1-2 hour,PG,6.2,20,"$16,827,402 "
Flatliners,"Drama, Horror, Mystery, Sci-Fi, Thriller",English,Movie,1-2 hour,PG-13,5.2,4,"$16,883,115 "
The Thing,"Horror, Mystery, Sci-Fi","English, Norwegian, Danish",Movie,1-2 hour,R,6.2,34,"$16,928,670 "
The Counselor,"Crime, Drama, Thriller","English, Spanish, Dutch",Movie,1-2 hour,R,5.3,33,"$16,973,715 "
Wimbledon,"Comedy, Romance, Sport","English, Italian",Movie,1-2 hour,PG-13,6.3,61,"$17,001,133 "
Rock Star,"Drama, Music",English,Movie,1-2 hour,R,6.3,,"$17,008,282 "
The Hurt Locker,"Drama, Thriller, War","English, Arabic",Movie,> 2 hrs,R,7.5,97,"$17,017,811 "
Son of the Mask,"Comedy, Family, Fantasy",English,Movie,1-2 hour,PG,2.2,6,"$17,018,422 "
The Devils Rejects,Horror,"English, Spanish",Movie,1-2 hour,R,6.8,55,"$17,044,981 "
Norm of the North,"Animation, Adventure, Comedy, Family",English,Movie,1-2 hour,PG,3.4,7,"$17,062,499 "
Win a Date with Tad Hamilton!,"Comedy, Romance",English,Movie,1-2 hour,PG-13,5.6,54,"$17,071,962 "
Seed of Chucky,"Comedy, Fantasy, Horror, Thriller","English, Japanese",Movie,1-2 hour,R,4.8,34,"$17,083,732 "
Pet Sematary 2,"Fantasy, Horror",English,Movie,1-2 hour,R,4.9,22,"$17,092,453 "
Kung Fu Hustle,"Action, Comedy, Fantasy","Cantonese, Mandarin",Movie,1-2 hour,R,7.7,90,"$17,108,591 "
Safe,"Action, Crime, Thriller","English, Mandarin, Russian",Movie,1-2 hour,R,6.5,58,"$17,142,080 "
The Good Liar,"Crime, Drama, Mystery, Thriller","English, German, Russian, French, Spanish",Movie,1-2 hour,R,6.6,63,"$17,156,058 "
Angel Heart,"Horror, Mystery, Thriller","English, French",Series,< 30 minutes,X,7.3,79,"$17,185,632 "
Center Stage,"Drama, Music, Romance",English,Movie,1-2 hour,PG-13,6.7,42,"$17,200,925 "
Hudson Hawk,"Action, Adventure, Comedy","English, Italian",Movie,1-2 hour,R,5.8,32,"$17,218,080 "
Seventh Son,"Action, Adventure, Fantasy",English,Movie,1-2 hour,PG-13,5.5,12,"$17,223,265 "
Fired Up,"Comedy, Sport",English,Movie,1-2 hour,PG-13,6.1,24,"$17,231,291 "
A Most Wanted Man,"Crime, Drama, Thriller","English, Turkish, Arabic",Movie,> 2 hrs,R,6.8,86,"$17,237,855 "
The Glass Castle,"Biography, Drama",English,Movie,> 2 hrs,PG-13,7.2,52,"$17,273,059 "
Brightburn,"Drama, Horror, Mystery, Sci-Fi",English,Movie,1-2 hour,R,6.1,58,"$17,300,439 "
Inkheart,"Adventure, Family, Fantasy",English,Movie,1-2 hour,PG,6.1,39,"$17,303,424 "
A Haunted House 2,"Comedy, Fantasy",English,Movie,1-2 hour,R,4.7,8,"$17,329,486 "
My Girl 2,"Comedy, Drama, Family, Romance",English,Movie,1-2 hour,PG,5.3,27,"$17,359,799 "
Loomis Fargo,"Biography, Comedy, Crime","English, Spanish",Movie,1-2 hour,PG-13,5.8,34,"$17,368,022 "
The NeverEnding Story 2: The Next Chapter,"Adventure, Drama, Family, Fantasy",English,Movie,1-2 hour,PG,5.2,14,"$17,373,527 "
Addicted,"Drama, Thriller","Spanish, English",Movie,1-2 hour,R,5.1,7,"$17,390,770 "
Chappaquiddick,"Biography, Drama, History, Thriller",English,Movie,1-2 hour,PG-13,6.4,81,"$17,395,520 "
Dark Skies,"Horror, Sci-Fi, Thriller",English,Movie,1-2 hour,PG-13,6.3,41,"$17,418,667 "
The Ruins,"Adventure, Fantasy, Horror, Mystery, Sci-Fi, Thriller","English, Maya, Spanish, Greek, German",Movie,1-2 hour,R,5.9,48,"$17,432,844 "
Half Baked,"Comedy, Crime","English, Turkish",Movie,1-2 hour,R,6.7,29,"$17,460,020 "
Sorry to Bother You,"Comedy, Fantasy, Sci-Fi",English,Movie,1-2 hour,R,6.9,93,"$17,493,096 "
Father Figures,"Comedy, Drama","English, Hawaiian",Movie,1-2 hour,R,5.5,17,"$17,501,244 "
Dope,"Adventure, Comedy, Crime, Drama","English, Spanish",Movie,1-2 hour,R,7.2,89,"$17,506,470 "
For Keeps,"Comedy, Drama, Romance","English, French",Movie,1-2 hour,PG-13,6,17,"$17,514,553 "
Silent Hill: Revelation,"Fantasy, Horror",English,Movie,1-2 hour,R,5,10,"$17,529,157 "
"Paul, Apostle of Christ","Adventure, Biography, Drama, History",English,Movie,1-2 hour,PG-13,6.6,46,"$17,560,475 "
The Zookeepers Wife,"Biography, Drama, History, War","English, German, Hebrew",Movie,> 2 hrs,PG-13,7,64,"$17,571,660 "
Operation Finale,"Biography, Drama, History, Thriller, War","English, Spanish, French, German",Movie,> 2 hrs,PG-13,6.6,60,"$17,612,099 "
Parker,"Action, Crime, Thriller",English,Movie,1-2 hour,R,6.2,40,"$17,616,641 "
Викинг 18+,"Horror, Mystery, Sci-Fi, Thriller",English,Movie,> 2 hrs,PG-13,5.2,23,"$17,687,709 "
Apollo 18,"Horror, Mystery, Sci-Fi, Thriller",English,Movie,1-2 hour,PG-13,5.2,23,"$17,687,709 "
The Perks of Being a Wallflower,"Drama, Romance",English,Movie,1-2 hour,PG-13,8,85,"$17,742,948 "
Steve Jobs,"Biography, Drama",English,Movie,> 2 hrs,R,7.2,85,"$17,766,658 "
Halloween 4: The Return of Michael Myers,"Horror, Thriller",English,Movie,1-2 hour,R,5.9,29,"$17,768,757 "
Eurotrip,Comedy,"English, French, German, Italian, Japanese",Movie,1-2 hour,R,6.6,9,"$17,771,387 "
Bad Santa 2,"Comedy, Crime, Drama",English,Movie,1-2 hour,R,5.6,24,"$17,782,178 "
Mother!,"Drama, Horror, Mystery",English,Movie,> 2 hrs,R,6.6,68,"$17,800,004 "
Show Dogs,"Adventure, Comedy, Crime, Family",English,Movie,1-2 hour,PG,3.8,16,"$17,857,020 "
They Shall Not Grow Old,"Documentary, History, War",English,Movie,1-2 hour,R,8.3,99,"$17,956,913 "
Everything You Always Wanted to Know About Sex But Were Afraid to Ask,Comedy,"English, Italian",Movie,1-2 hour,R,6.8,88,"$18,016,290 "
Call Me by Your Name,"Drama, Romance","English, Italian, French, German, Hebrew",Movie,> 2 hrs,R,7.9,94,"$18,095,701 "
Chernobyl Diaries,"Horror, Mystery, Thriller","English, Ukrainian, Russian",Movie,1-2 hour,R,5,19,"$18,119,640 "
The Glass House,"Crime, Drama, Mystery, Thriller","English, Spanish, Greek",Movie,1-2 hour,PG-13,5.8,21,"$18,150,259 "
Next,"Action, Sci-Fi, Thriller","English, French, German, Serbian",Movie,1-2 hour,PG-13,6.2,28,"$18,211,013 "
The Last Castle,"Action, Drama, Thriller",English,Movie,> 2 hrs,R,7,52,"$18,244,060 "
Harold and Kumar Get the Munchies,"Adventure, Comedy","English, Hindi",Movie,1-2 hour,R,7.1,74,"$18,250,550 "
Paranormal Activity 5,"Horror, Mystery","English, German, Ukrainian",Movie,1-2 hour,R,4.6,14,"$18,300,124 "
127 Hours,"Adventure, Biography, Drama, Thriller","English, Italian",Movie,1-2 hour,R,7.5,93,"$18,335,230 "
North Country,Drama,English,Movie,> 2 hrs,R,7.3,69,"$18,337,722 "
Only the Brave,"Action, Biography, Drama",English,Movie,> 2 hrs,PG-13,7.6,87,"$18,343,983 "
Sleeper,"Comedy, Sci-Fi","English, Yiddish",Movie,1-2 hour,PG,7.2,100,"$18,344,729 "
Into the Wild,"Adventure, Biography, Drama","English, Danish",Movie,> 2 hrs,R,8.1,83,"$18,354,356 "
Quartet,"Comedy, Drama","English, Italian, Polish, French",Movie,1-2 hour,PG-13,6.8,80,"$18,390,117 "
A Thousand Words,"Comedy, Drama",English,Movie,1-2 hour,PG-13,5.9,0,"$18,450,127 "
The Invention of Lying,"Comedy, Fantasy, Romance",English,Movie,1-2 hour,PG-13,6.4,56,"$18,451,251 "
Youre Next,"Action, Crime, Horror, Mystery, Thriller",English,Movie,1-2 hour,R,6.6,79,"$18,494,006 "
Ultraviolet,"Action, Sci-Fi","English, Vietnamese",Movie,1-2 hour,PG-13,4.5,8,"$18,535,812 "
Aquamarine,"Comedy, Family, Fantasy, Romance",English,Movie,1-2 hour,PG,5.3,51,"$18,597,342 "
CHIPS,"Action, Comedy, Crime","English, Spanish",Movie,1-2 hour,R,6,18,"$18,600,152 "
Man on a Ledge,"Action, Crime, Thriller","English, Spanish",Movie,1-2 hour,PG-13,6.6,32,"$18,620,000 "
Geronimo: An American Legend,"Drama, History, Western","English, Apache languages",Movie,1-2 hour,PG-13,6.5,48,"$18,635,620 "
The Quick and the Dead,"Action, Romance, Thriller, Western","English, Spanish",Movie,1-2 hour,R,6.4,59,"$18,636,537 "
The Ninth Gate,"Mystery, Thriller","English, French, Latin, Portuguese, Spanish",Movie,> 2 hrs,R,6.7,44,"$18,661,336 "
Eye in the Sky,"Action, Drama, Thriller, War","English, Somali",Movie,1-2 hour,R,7.3,95,"$18,704,595 "
The Choice,"Drama, Romance",English,Movie,1-2 hour,PG-13,6.6,11,"$18,730,891 "
The Legend of Hercules,"Action, Adventure, Fantasy",English,Movie,1-2 hour,PG-13,4.2,5,"$18,848,538 "
The Seventh Sign,"Drama, Fantasy, Horror, Thriller","English, Hebrew",Movie,1-2 hour,R,5.9,15,"$18,875,011 "
Haywire,"Action, Drama, Thriller","English, Spanish",Movie,1-2 hour,R,5.8,80,"$18,942,396 "
The Impossible,"Drama, History, Thriller","English, Thai, Swedish",Movie,1-2 hour,PG-13,7.6,81,"$19,019,882 "
Remember Me,"Drama, Romance","English, Chinese",Movie,1-2 hour,PG-13,7.1,27,"$19,068,240 "
"I, Frankenstein","Action, Fantasy, Sci-Fi",English,Movie,1-2 hour,PG-13,5.1,5,"$19,075,290 "
Georgia Rule,"Comedy, Drama",English,Movie,1-2 hour,R,5.8,18,"$19,103,072 "
Friday the 13th: Part 7: The New Blood,"Horror, Thriller",English,Movie,1-2 hour,R,5.3,32,"$19,170,001 "
Two Brothers,"Adventure, Drama, Family","English, Thai, French",Movie,1-2 hour,PG,7.1,78,"$19,176,754 "
Beerfest,Comedy,"English, German",Movie,1-2 hour,R,6.3,41,"$19,185,184 "
The Replacement Killers,"Action, Crime, Thriller","English, Cantonese",Movie,1-2 hour,R,6.2,36,"$19,204,929 "
Race,"Biography, Drama, Sport","English, German",Movie,> 2 hrs,PG-13,7.1,62,"$19,206,207 "
Species II,"Action, Horror, Sci-Fi, Thriller",English,Movie,1-2 hour,R,4.5,9,"$19,221,939 "
Cursed,"Comedy, Horror",English,Series,< 30 minutes,PG-13,5,,"$19,297,522 "
Little Giants,"Comedy, Family, Sport",English,Movie,1-2 hour,PG,6.4,36,"$19,306,362 "
Vacancy,"Horror, Thriller",English,Movie,1-2 hour,R,6.2,55,"$19,363,565 "
Shaun the Sheep Movie,"Animation, Adventure, Comedy, Family, Fantasy","None, English",Movie,1-2 hour,PG,7.3,99,"$19,375,982 "
Evil Woman,"Comedy, Crime, Romance","English, Thai",Movie,1-2 hour,PG-13,5.9,19,"$19,402,030 "
Beautiful Creatures,"Drama, Fantasy, Romance",English,Movie,> 2 hrs,PG-13,6.1,47,"$19,452,138 "
It Takes Two,"Comedy, Family, Romance",English,Movie,1-2 hour,PG,5.9,8,"$19,474,589 "
Valiant,"Animation, Adventure, Comedy, Family, War",English,Movie,1-2 hour,G,5.5,32,"$19,478,106 "
The Eagle,"Action, Adventure, Drama, History, War","English, Scottish Gaelic",Movie,1-2 hour,PG-13,6.2,39,"$19,490,041 "
Leon: The Professional,"Action, Crime, Drama, Thriller","English, Italian, French",Movie,1-2 hour,R,8.5,74,"$19,501,238 "
Igor,"Animation, Comedy, Family, Fantasy",English,Movie,1-2 hour,PG,6,39,"$19,528,602 "
The Professionals,"Action, Adventure, Western","English, Spanish",Movie,1-2 hour,PG-13,7.3,88,"$19,537,346 "
Astro Boy,"Animation, Action, Comedy, Family, Sci-Fi",English,Series,< 30 minutes,PG,6.3,50,"$19,551,067 "
Astro Boy,"Animation, Action, Comedy, Family, Sci-Fi",English,Movie,1-2 hour,PG,6.3,50,"$19,551,067 "
The Secret World of Arrietty,"Animation, Adventure, Family, Fantasy",Japanese,Movie,1-2 hour,G,7.6,95,"$19,587,032 "
Nine,"Drama, Musical, Romance","English, Italian, French",Movie,1-2 hour,PG-13,5.8,39,"$19,676,965 "
Nine Lives,"Comedy, Drama, Family, Fantasy",English,Movie,1-2 hour,PG,5.3,14,"$19,700,032 "
Broken City,"Action, Crime, Drama, Thriller","English, Spanish",Movie,1-2 hour,R,6.2,28,"$19,701,164 "
Middle School: The Worst Years of My Life,"Animation, Comedy, Family","English, Khmer",Movie,1-2 hour,PG,6.1,63,"$20,007,149 "
Assault on Precinct 13,"Action, Crime, Drama, Thriller","English, Serbian",Movie,1-2 hour,R,6.3,59,"$20,040,895 "
Booty Call,"Comedy, Romance",English,Movie,1-2 hour,R,5.4,25,"$20,050,376 "
Only You,"Comedy, Romance","English, Italian",Movie,1-2 hour,PG,6.5,54,"$20,059,210 "
Flipper,"Adventure, Family",English,Movie,1-2 hour,PG,5.3,32,"$20,080,020 "
Dont Be a Menace to South Central While Drinking Your Juice in the Hood,"Comedy, Crime","English, Spanish",Movie,1-2 hour,R,6.6,31,"$20,109,115 "
Love and Death,"Comedy, War",English,Movie,1-2 hour,PG,7.7,100,"$20,123,742 "
UglyDolls,"Animation, Adventure, Comedy, Family, Fantasy, Musical",English,Movie,1-2 hour,PG,5,27,"$20,150,241 "
Big Miracle,"Biography, Drama, Family, Romance",English,Movie,1-2 hour,PG,6.5,75,"$20,157,300 "
The NeverEnding Story,"Adventure, Drama, Family, Fantasy",English,Movie,1-2 hour,PG,7.4,80,"$20,158,808 "
Homefront,"Action, Crime, Thriller",English,Movie,1-2 hour,R,6.5,42,"$20,158,898 "
Secret in Their Eyes,"Crime, Drama, Mystery, Thriller",English,Movie,1-2 hour,PG-13,6.3,39,"$20,180,155 "
Baahubali 2: The Conclusion (Malayalam Version),"Action, Drama","Telugu, Tamil",Movie,> 2 hrs,Not Rated,8.2,86,"$20,186,659 "
Baahubali 2: The Conclusion (Tamil Version),"Action, Drama","Telugu, Tamil",Movie,> 2 hrs,Not Rated,8.2,86,"$20,186,659 "
Baahubali 2: The Conclusion (Hindi Version),"Action, Drama","Telugu, Tamil",Movie,> 2 hrs,Not Rated,8.2,86,"$20,186,659 "
Monty Pythons Life of Brian,Comedy,"English, Latin",Movie,1-2 hour,R,8.1,95,"$20,206,622 "
Gone Baby Gone,"Crime, Drama, Mystery, Thriller",English,Movie,1-2 hour,R,7.6,94,"$20,292,962 "
The People vs. Larry Flynt,"Biography, Drama",English,Movie,> 2 hrs,R,7.3,88,"$20,300,385 "
Vampires,"Action, Horror, Thriller","English, Latin",Movie,1-2 hour,R,6.2,41,"$20,308,772 "
Sudden Death,"Action, Crime, Thriller",English,Movie,1-2 hour,R,5.8,50,"$20,350,171 "
The Three Musketeers,"Action, Adventure, Fantasy, History, Romance, Thriller",English,Movie,1-2 hour,PG-13,5.7,26,"$20,374,484 "
Brick Mansions,"Action, Crime, Thriller","English, Chinese",Movie,1-2 hour,PG-13,5.7,26,"$20,396,829 "
The In-Laws,"Action, Comedy, Thriller","English, French, Mandarin",Movie,1-2 hour,PG-13,5.8,33,"$20,453,431 "
The In-Laws,"Action, Comedy, Thriller","English, French, Mandarin",Series,< 30 minutes,PG-13,5.8,33,"$20,453,431 "
The Peanut Butter Falcon,"Adventure, Comedy, Drama",English,Movie,1-2 hour,PG-13,7.6,95,"$20,457,151 "
The Circle,"Drama, Sci-Fi, Thriller",English,Series,< 30 minutes,PG-13,5.3,15,"$20,497,844 "
The Circle,"Drama, Sci-Fi, Thriller",English,Movie,1-2 hour,PG-13,5.3,15,"$20,497,844 "
Gamer,"Action, Sci-Fi, Thriller",English,Movie,1-2 hour,R,5.8,30,"$20,534,907 "
Superfly,"Action, Crime, Thriller","English, Spanish, Cantonese",Movie,1-2 hour,R,5.2,,"$20,545,116 "
The Photograph,"Drama, Romance",English,Movie,1-2 hour,PG-13,6,,"$20,578,185 "
The Invisible,"Crime, Drama, Fantasy, Mystery, Thriller",English,Movie,1-2 hour,PG-13,6.2,20,"$20,578,909 "
Keanu,"Action, Comedy, Crime",English,Movie,1-2 hour,R,6.3,78,"$20,591,853 "
Land of the Dead,"Horror, Sci-Fi, Thriller","English, Spanish, Italian, Polish, French",Movie,1-2 hour,R,6.2,74,"$20,700,082 "
The Happytime Murders,"Action, Comedy, Crime, Fantasy, Mystery, Thriller",English,Movie,1-2 hour,R,5.4,24,"$20,706,452 "
Diary of a Wimpy Kid: The Long Haul,"Comedy, Family","English, Spanish",Movie,1-2 hour,PG,4.3,18,"$20,738,724 "
Gods Not Dead 2,Drama,English,Movie,> 2 hrs,PG,4.4,10,"$20,774,575 "
Blair Witch,"Horror, Mystery, Thriller",English,Movie,1-2 hour,R,5,37,"$20,777,061 "
Sleepless,"Action, Crime, Thriller",English,Movie,1-2 hour,R,5.6,25,"$20,783,704 "
Sleepless,"Action, Crime, Thriller",English,Movie,1-2 hour,R,5.6,25,"$20,783,704 "
The Kids Are All Right,"Comedy, Drama, Romance",English,Movie,1-2 hour,R,7,92,"$20,811,365 "
Fear,"Drama, Thriller",English,Movie,1-2 hour,R,6.3,46,"$20,831,000 "
Unhinged,"Action, Thriller",English,Movie,1-2 hour,R,6.1,,"$20,831,465 "
Proud Mary,"Action, Crime, Drama, Thriller","English, Russian",Movie,1-2 hour,R,5,25,"$20,877,013 "
Super Mario Bros.,"Adventure, Comedy, Family, Fantasy, Sci-Fi",English,Movie,1-2 hour,PG,4.1,24,"$20,915,465 "
Shorts,"Adventure, Comedy, Family, Fantasy, Horror, Romance, Sci-Fi",English,Movie,1-2 hour,PG,4.7,47,"$20,919,166 "
A Room with a View,"Drama, Romance","English, Italian",Movie,1-2 hour,Not Rated,7.3,100,"$20,966,644 "
The X-Files: I Want to Believe,"Crime, Drama, Horror, Mystery, Sci-Fi, Thriller","English, Russian, Czech",Movie,1-2 hour,PG-13,5.9,31,"$20,982,478 "
Reality Bites,"Comedy, Drama, Romance",English,Movie,1-2 hour,PG-13,6.6,66,"$20,982,557 "
Looney Tunes: Back in Action,"Animation, Adventure, Comedy, Family",English,Movie,1-2 hour,PG,5.7,56,"$20,991,364 "
Christine,"Horror, Thriller",English,Movie,1-2 hour,R,6.7,69,"$21,017,849 "
Christine,"Horror, Thriller",English,Movie,1-2 hour,R,6.7,69,"$21,017,849 "
Aloha,"Comedy, Drama, Romance","English, Hawaiian, Russian",Movie,1-2 hour,PG-13,5.4,20,"$21,067,116 "
Night Shift,Comedy,English,Movie,1-2 hour,R,6.6,92,"$21,095,638 "
The Disaster Artist,"Biography, Comedy, Drama",English,Movie,1-2 hour,R,7.4,91,"$21,120,616 "
Stir of Echoes,"Horror, Mystery, Thriller","English, Spanish, Korean",Movie,1-2 hour,R,7,68,"$21,142,914 "
The Next Three Days,"Action, Crime, Drama, Romance, Thriller",English,Movie,> 2 hrs,PG-13,7.3,51,"$21,148,651 "
Phantom Thread,"Drama, Romance","English, French",Movie,> 2 hrs,R,7.5,91,"$21,198,205 "
Fame,"Drama, Music, Musical","English, Spanish, French, Russian",Movie,> 2 hrs,R,6.6,84,"$21,202,829 "
Torque,"Action, Comedy, Crime",English,Movie,1-2 hour,PG-13,4.1,23,"$21,215,059 "
Mechanic: Resurrection,"Action, Adventure, Crime, Thriller","English, Portuguese, Thai, Bulgarian",Movie,1-2 hour,R,5.7,31,"$21,218,403 "
Coneheads,"Comedy, Sci-Fi",English,Movie,1-2 hour,PG,5.3,35,"$21,274,717 "
Conan the Barbarian,"Action, Adventure, Fantasy",English,Movie,1-2 hour,R,5.2,25,"$21,295,021 "
Dream House,"Drama, Mystery, Thriller",English,Movie,1-2 hour,PG-13,6,6,"$21,302,340 "
Van Wilder: Party Liaison,"Comedy, Romance",English,Movie,1-2 hour,R,6.4,18,"$21,305,259 "
"As Above, So Below","Horror, Mystery, Thriller","English, French, Latin",Movie,1-2 hour,R,6.2,26,"$21,321,100 "
Waist Deep,"Action, Crime, Drama, Thriller",English,Movie,1-2 hour,R,5.9,28,"$21,344,312 "
Shaft,"Action, Comedy, Crime",English,Movie,1-2 hour,R,6.4,33,"$21,360,215 "
Skyline,"Action, Sci-Fi, Thriller",English,Movie,1-2 hour,PG-13,4.4,16,"$21,393,620 "
The Place Beyond the Pines,"Crime, Drama, Thriller","English, Spanish",Movie,> 2 hrs,R,7.3,78,"$21,403,519 "
Quigley Down Under,"Action, Adventure, Drama, Romance, Western","English, Aboriginal",Movie,1-2 hour,PG-13,6.9,59,"$21,413,105 "
The Darkest Hour,"Action, Adventure, Horror, Sci-Fi, Thriller","English, Russian",Movie,1-2 hour,PG-13,4.9,12,"$21,443,494 "
Battlefield Earth,"Action, Adventure, Sci-Fi",English,Movie,1-2 hour,PG-13,2.5,3,"$21,471,685 "
The Way Way Back,"Comedy, Drama",English,Movie,1-2 hour,PG-13,7.4,84,"$21,506,546 "
Baggage Claim,"Comedy, Romance",English,Movie,1-2 hour,PG-13,5.1,15,"$21,569,509 "
Black or White,Drama,English,Movie,> 2 hrs,PG-13,6.6,39,"$21,571,189 "
Snowden,"Biography, Crime, Drama, Thriller","English, American Sign Language, Russian",Movie,> 2 hrs,R,7.3,61,"$21,587,519 "
Mud,Drama,English,Movie,> 2 hrs,PG-13,7.4,97,"$21,590,086 "
Your Highness,"Adventure, Comedy, Fantasy",English,Movie,1-2 hour,R,5.5,27,"$21,596,445 "
Short Circuit 2,"Comedy, Drama, Family, Sci-Fi",English,Movie,1-2 hour,PG,5.8,38,"$21,630,088 "
Against All Odds,"Action, Adventure, Crime, Drama, Romance, Thriller",English,Movie,> 2 hrs,R,5.9,70,"$21,689,062 "
Overlord,"Action, Adventure, Horror, Sci-Fi, War","English, German, French",Movie,1-2 hour,R,6.6,81,"$21,704,844 "
Marathon Man,"Crime, Thriller","English, French, German, Spanish, Yiddish",Movie,> 2 hrs,R,7.4,81,"$21,709,020 "
Friday the 13th: Part 2,"Horror, Mystery, Thriller",English,Movie,1-2 hour,R,6.1,28,"$21,722,776 "
A Lot Like Love,"Comedy, Drama, Romance","English, American Sign Language",Movie,1-2 hour,PG-13,6.6,41,"$21,845,719 "
My Little Pony: The Movie,"Animation, Adventure, Comedy, Drama, Family, Fantasy, Musical",English,Movie,1-2 hour,PG,6.1,46,"$21,885,107 "
Hellboy,"Action, Adventure, Fantasy, Horror, Sci-Fi","English, Spanish, Russian, German",Movie,> 2 hrs,R,5.2,18,"$21,903,748 "
Friday the 13th: Part 5: A New Beginning,"Horror, Mystery, Thriller",English,Movie,1-2 hour,R,4.8,19,"$21,930,418 "
Billy Elliot,"Drama, Music",English,Movie,1-2 hour,R,7.7,85,"$21,995,263 "
Death Wish,"Action, Crime, Drama, Thriller","English, Italian, German, French",Movie,1-2 hour,R,7,68,"$22,000,000 "
Mary Shelleys Frankenstein,"Drama, Horror, Romance, Sci-Fi",English,Movie,> 2 hrs,R,6.4,38,"$22,006,296 "
Black and Blue,"Action, Crime, Thriller",English,Movie,1-2 hour,R,6.4,52,"$22,055,313 "
Lock Up,"Action, Crime, Drama, Thriller",English,Movie,1-2 hour,R,6.4,23,"$22,099,847 "
Rough Night,"Comedy, Crime, Thriller","English, Spanish",Movie,1-2 hour,R,5.2,44,"$22,105,643 "
Darkness,Horror,English,Movie,1-2 hour,PG-13,5.5,4,"$22,163,442 "
Like a Boss,Comedy,"English, Spanish, French, Russian",Movie,1-2 hour,R,4.6,,"$22,169,514 "
Nowhere to Run,"Action, Drama, Romance, Thriller",English,Movie,1-2 hour,R,5.7,30,"$22,189,039 "
The Medallion,"Action, Comedy, Fantasy",English,Movie,1-2 hour,PG-13,5.3,17,"$22,219,192 "
Emma,"Comedy, Drama, Romance",English,Movie,> 2 hrs,PG,6.6,89,"$22,231,658 "
47 Meters Down: Uncaged,"Adventure, Drama, Horror, Thriller","English, Spanish",Movie,1-2 hour,PG-13,5,45,"$22,260,900 "
Richard Jewell,"Biography, Crime, Drama",English,Movie,> 2 hrs,R,7.5,,"$22,345,542 "
The Bye Bye Man,"Drama, Fantasy, Horror, Mystery, Thriller",English,Movie,1-2 hour,PG-13,4.2,19,"$22,395,806 "
